Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)","Tipo de central (Hidro, Termo, Filo, Menor)",Central,Hora_1,Hora_2,Hora_3,Hora_4,Hora_5,Hora_6,Hora_7,Hora_8,Hora_9,Hora_10,Hora_11,Hora_12,Hora_13,Hora_14,Hora_15,Hora_16,Hora_17,Hora_18,Hora_19,Hora_20,Hora_21,Hora_22,Hora_23,Hora_24,Total_hours
RIO PIEDRAS,ENERGIA RIO PIEDRAS,MAGUAFRE,M,MAGUAFRE,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,168
ALEJANDRÍA,PCH ALEJANDRÍA,M_ALEJANDRIA,M,M_ALEJANDRIA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,192
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALBAN,H,ALBAN,223,223,223,223,223,223,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,223,7596
EPSA,EPSA(PACIFICO),ALTOTULUA,M,ALTOTULUA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,6,0,0,0,0,0,0,144
EPSA,EPSA(PACIFICO),ALTOTULUA,M,ALTOTULUA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,6,0,0,0,0,0,0,144
EPSA,EPSA(PACIFICO),M_AMAIME,M,M_AMAIME,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,216
EPM,EEPPM,M_AMALFI,M,M_AMALFI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
ISAGEN,ISAGEN,AMOYA,F,AMOYA,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1680
ISAGEN,ISAGEN,AMOYA,F,AMOYA,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,1680
CELSIA,CELSIA,AG_ARGOSCTG,M,AG_ARGOSCTG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CELSIA,CELSIA,AG_ELCAIRO,M,AG_ELCAIRO,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,3,3,3,47
EMGESA,EMGESA S.A.,AG_REFICAR,M,AG_REFICAR,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,216
